Model,RMSE,R2,MAE
Ridge Regression (TUNED),24.4234872480654,0.9985587473665386,5.485584387057301
Lasso Regression,24.621403523426707,0.9985352942777709,5.326440031671722
Elastic Net (TUNED),24.842688891633273,0.9985088478200715,5.501024166483344
OLS Linear Regression,24.960248842258597,0.9984947016419327,5.654598171125837
Gradient-Boosted Tree (TUNED),113.5783552539532,0.968831498931018,4.124256394979797
Random Forest,358.9133891292407,0.6887537797663992,9.109353656296873
