Parameter Name,Count,Mean_99pct,Std_99pct,Min_99pct,Max_99pct
tert-Butyl ethyl ether,19,0.02315789473684211,0.039023160014840665,0.01,0.18
EC3 PM2.5 LC,137,0.02243065693430656,0.019420575664075658,0.007,0.192
Bromochloromethane,1,0.02,,0.02,0.02
Chromium PM2.5 LC,174,0.01902298850574711,0.03756473472638202,0.001,0.484
Titanium PM2.5 LC,295,0.015789830508474545,0.033589406001735225,0.001,0.414
Strontium PM2.5 LC,246,0.013499999999999967,0.035317192437007955,0.001,0.322
Dibromochloromethane,3,0.013333333333333334,0.005773502691896258,0.01,0.02
Nitrite PM2.5 LC,153,0.012503986928104572,0.01381780851025747,0.00076,0.08587
Bromine PM2.5 LC,297,0.011952861952861932,0.02478129607915284,0.001,0.288
Bromoform,17,0.01176470588235294,0.003929526239966879,0.01,0.02
Cadmium PM2.5 LC,137,0.011700729927007308,0.004180425258946978,0.004,0.037
Silver PM2.5 LC,136,0.011625000000000007,0.006283355437626903,0.004,0.073
Tert-amyl methyl ether,19,0.011052631578947366,0.0031530176764230575,0.01,0.02
Lead PM2.5 LC,287,0.010101045296167226,0.028863197323628166,0.001,0.439
Indium PM2.5 LC,134,0.010044776119402991,0.009842263991369893,0.002,0.089
Mercury PM10 STP,1,0.01,,0.01,0.01
Chromium (TSP) LC,52,0.009944423076923076,0.01782834308924114,0.00097,0.0915
Lead (TSP) STP,14,0.009712142857142858,0.007978497235185844,0.0017,0.0259
Hydrogen sulfide,14,0.009671428571428572,0.012626494036285435,0.002,0.0413
Chromium (TSP) STP,14,0.008967857142857142,0.004828033806795519,0.002,0.0159
Lead PM10 LC,22,0.008105454545454544,0.007156790133966834,0.0003,0.02248
Manganese PM2.5 LC,273,0.0081025641025641,0.014009861049864153,0.001,0.115
Lead PM10 STP,16,0.0077062499999999996,0.012280579180152702,0.0004,0.0522
Nickel (TSP) STP,14,0.007232142857142858,0.006288714163020594,0.00096,0.0209
Phosphorus PM2.5 LC,271,0.006800738007380077,0.010584971850834443,0.001,0.089
Nickel PM2.5 LC,172,0.00654651162790698,0.01098234306080115,0.001,0.109
Lead (TSP) LC Non-FRM/FEM,9,0.006444444444444445,0.004503085362035431,0.002,0.015
Vanadium PM2.5 LC,170,0.006435294117647063,0.006211169665305221,0.001,0.072
Nickel (TSP) LC,51,0.005992745098039215,0.008971689713411043,0.00042,0.0471
Antimony (TSP) STP,12,0.0051925,0.003788811579086269,0.001,0.0115
Selenium (TSP) LC,24,0.005142083333333334,0.011935521328541037,0.0006,0.04444
Tin (TSP) STP,9,0.004777777777777779,0.0031135902820449007,0.002,0.011
Selenium PM2.5 LC,180,0.004705555555555558,0.0037827855041068213,0.001,0.033
Cerium PM2.5 LC,137,0.004496350364963507,0.0031995498019510966,0.002,0.026
Antimony PM2.5 LC,143,0.004426573426573428,0.011608332067406421,0.001,0.063
Arsenic (TSP) LC,46,0.00400695652173913,0.003993885810177139,0.00073,0.02571
Zirconium (TSP) STP,9,0.003888888888888889,0.00190029237516523,0.002,0.007
Cobalt PM2.5 LC,143,0.003860139860139862,0.002847290282379437,0.001,0.023
Arsenic PM2.5 LC,175,0.003377142857142859,0.00784223335368997,0.001,0.102
Rubidium PM2.5 LC,174,0.0032931034482758643,0.001926468697491809,0.001,0.017
Total reduced sulfur,4,0.0032500000000000003,0.0012583057392117915,0.002,0.005
Molybdenum PM2.5 LC,6,0.0029999999999999996,0.0,0.003,0.003
Zirconium PM2.5 LC,290,0.0029620689655172434,0.004141353087235038,0.001,0.055
Cobalt (TSP) STP,12,0.0025425,0.0033238042962846054,0.00065,0.009
Arsenic (TSP) STP,14,0.0024792857142857147,0.0019991977786706742,0.00087,0.00512
Vanadium (TSP) STP,9,0.0023655555555555556,0.001364213244979603,0.00104,0.00436
Cesium PM2.5 LC,130,0.0023230769230769247,0.0011221199801495936,0.001,0.006
Yttrium PM2.5 LC,6,0.002,0.0,0.002,0.002
Mercury PM2.5 LC,6,0.002,0.0,0.002,0.002
Selenium (TSP) STP,12,0.0019875,0.0006105604727699714,0.00165,0.003
Molybdenum (TSP) STP,9,0.0019433333333333336,0.0024152277325337253,0.00065,0.00706
Cadmium (TSP) LC,51,0.0016476470588235295,0.004941489487284293,0.00016,0.032
Cadmium (TSP) STP,12,0.0009633333333333331,0.0005303058008585636,0.00065,0.002
Mercury (TSP) LC,4,2.75e-05,5e-06,2e-05,3e-05
