Parameter Name,Count,Mean_99pct,Std_99pct,Min_99pct,Max_99pct
n-Hexane,77,6.787993506493506,15.089527985470564,0.5,129.2
Isoprene,45,6.485402222222223,9.088826712320236,0.0786,38.3057
OC CSN_Rev Unadjusted PM2.5 LC TOT,142,6.036105633802818,5.65519048811333,0.891,47.307
OC CSN_Rev Unadjusted PM2.5 LC TOR,143,5.645027972027973,5.623660893428984,0.866,45.335
Beryllium (TSP) STP,23,5.628173913043478,24.718144507172667,0.015,119.0
OC PM2.5 LC TOT,137,5.588194671532848,5.501749119617357,0.74068,47.1283
Std Dev Hz Wind Speed,10,5.37,2.334309319691801,3.0,10.7
Formaldehyde,104,5.275961538461539,3.7575424521966143,0.2,25.0
m/p Xylene,135,5.227142222222222,14.601233039035398,0.3,163.2
Pyrene (TSP) STP,30,5.177099999999999,12.67207382355608,0.251,69.5
Propylene,59,4.989908474576271,5.594628653766721,0.59,28.72
Nickel PM10 STP,16,4.606875,7.4650516575573675,0.08,27.48
Acetylene,44,4.550234090909091,5.297614053951527,0.7,23.0507
Antimony PM10 LC,14,4.190928571428571,3.5088165101922617,0.101,10.1
2-Methylpentane,33,4.161024242424243,2.4677356470596563,0.9,11.15
Acetaldehyde,104,4.1000000000000005,3.707693392294209,0.2,25.5
Sulfate PM10 STP,5,3.96,1.2300406497347964,2.8,5.6
Chloride PM10 STP,5,3.946,1.7510511129033328,2.02,5.42
"2,2,4-Trimethylpentane",66,3.824724242424242,5.057877692077838,0.38,34.94
Nickel PM10 LC,22,3.605045454545454,4.222689737227104,0.471,19.7
Organic Carbon Mass PM2.5 LC,154,3.543568701298703,6.422941654915855,0.32784,65.90028
Total Nitrate PM2.5 LC,296,3.4931418918918937,3.3596851668685286,0.064,25.44
OC PM2.5 LC TOR,291,3.4918453608247404,4.849839740701441,0.18,45.157
Vinyl acetate,9,3.34,2.8229417280560365,0.1,7.28
UV Carbon PM2.5 STP,19,3.3247368421052634,1.5966540306425974,0.98,6.8
