summary,99th Percentile,Arithmetic Mean,Arithmetic Standard Dev,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Latitude,Longitude,POC,State Code,County Code,Site Num
count,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969,55969
mean,57.152118221652664,32.72978223211049,7.953784411227659,1672.1855134092086,48.2100091121871,115.3521770980364,217.26384248423236,15.756508066965642,81.10736300452037,0.3869284782647537,0.38380174739587986,38.55418136025253,-95.87011415197694,3.3089210098447355,28.033643624149082,74.51001447229716,1188.1510657685506
stddev,1016.2444876627086,282.5973448194689,206.68199020530903,4120.977222901118,21.606546843749424,98.08054002704756,136.09010574525422,453.1895472291555,508.49616284160766,2.8617138279976575,2.8537981204972134,5.846551771452252,17.73431914316269,6.950995404728942,16.818548053377803,85.7814410515188,2483.280702515679
min,2.0E-5,-7.071186,0.0,1,0,0,1,0,0,0,0,17.955378,-160.508331,1,1,1,1
max,135129.0,27312.765742,27966.775995,86042,100,317,365,61970,58968,103,103,68.637233,-64.795972,82,80,810,9997
